cnty,percent_male10,med_age10,percent_black10,percent_white10,total_pop10,pop_density10,log_pop_density10,rep_pre_2008,rep_pre_2012,rep_sen_2010,rep_hou_2010,main_protestant10,evan_protestant10,catholic10,med_house_val0509,med_house_income0509,below_poverty0509,high_school0509,bac0509,grad0509,married0509,divorced0509,separated0509,other_language0509,foreign_born0509,same_sex0509,murderrate2008,robberyrate2008,agasltrate2008,percent_physically_inactive_chr12,motorvehicle_mortality_rate_chr12,year_potential_life_lost_rate_chr12,percent_excessive_drinking_chr12,percent_smokers_chr12,physically_unhealthy_days_chr12,mentally_unhealthy_days_chr12,percent_fair_or_poor_chr12,percent_obese_chr12,ls09_10_avg,elev,maxtemp0610,mintemp0610,max_heat_index0610,sunlight0610,precipitation0610,Land Area km²,Water Area km²,Total Area km²,Latitude,Longitude 
1001,48.7,37.0,17.7,78.5,54571,91.8,4.51961,0.25773,72.4941,0.77779,0.646591,82.8589,503.99,32.3589,130700.0,51463.0,10.3,85.0,21.8,7.3,54.6,11.9,2.4,3.7,1.6,0.2,5.89576e-05,0.000471661,0.00139533,32.2,28.3831,9865.83,15.9,24.6,4.9,4.1,22.2,34.1,3.40318,131.0,75.45,54.84,1012.0,17728.0,3.67,1539.582,25.776,1565.358,32.536382,-86.64449
1003,48.9,41.1,9.4,85.7,182265,114.6,4.74145,0.238119,77.2198,0.8069,0.808318,110.14,318.139,76.8589,173100.0,48918.0,11.9,87.5,26.6,9.2,59.9,10.9,1.7,4.6,3.0,0.6,3.53814e-05,0.000396272,0.00128789,25.1,23.1837,8091.77,19.7,22.7,3.4,4.2,12.5,25.5,3.40599,53.0,76.44,60.06,1042.0,18396.3,4.07,4117.522,1133.19,5250.712,30.659218,-87.746067
1005,53.1,39.0,46.9,48.0,27457,31.0,3.43399,0.489854,48.1896,0.51269,0.405564,77.9389,320.25,20.94,83400.0,32537.0,24.7,70.3,12.4,5.3,43.5,11.6,4.1,4.2,2.6,0.4,0.0,9.27472e-05,0.00268967,34.2,28.4952,8835.69,11.0,23.4,6.1,4.6,24.8,37.0,3.37381,152.0,76.2,56.13,990.0,17962.5,3.41,2291.819,50.865,2342.684,31.87067,-85.405456
1007,53.7,37.8,22.0,75.8,22915,36.8,3.6055,0.265965,72.8266,0.754473,0.98383,13.1789,443.329,,81300.0,41236.0,11.9,72.2,11.1,3.2,54.2,12.5,3.2,1.4,1.0,0.3,0.0,0.000259632,0.0017655,37.2,41.1897,13096.8,13.1,35.1,4.8,5.6,20.5,34.0,3.37655,114.0,74.93,54.21,1020.0,17509.9,3.85,1612.481,9.289,1621.77,33.015893,-87.127148
1009,49.5,39.0,1.3,92.6,57322,88.9,4.48751,0.145135,86.2718,0.852831,0.991093,52.95,509.8,82.76,109700.0,45406.0,11.0,72.9,12.3,4.1,55.8,13.1,2.6,6.8,4.5,0.3,0.0,0.000481603,0.00211905,35.9,31.1608,8698.84,5.2,22.7,6.1,5.1,25.2,32.0,3.37481,166.0,72.54,53.16,867.0,16855.1,3.47,1669.962,15.157,1685.119,33.977448,-86.567246
1011,54.2,38.5,70.2,23.0,10914,17.5,2.8622,0.74072,23.5062,0.29643,0.227261,55.07,197.18,4.49,65700.0,26209.0,32.3,69.9,9.0,3.0,32.7,9.0,4.6,2.6,1.4,0.0,,,,30.9,61.9571,13597.8,4.6,,5.2,5.7,,39.4,,152.0,75.82,55.18,988.0,17934.4,3.37,1613.057,6.057,1619.113,32.101759,-85.717261
1013,47.0,40.1,43.4,54.4,20947,27.0,3.29584,0.431352,53.5361,0.588862,0.447869,78.9089,413.089,3.68,68000.0,31938.0,22.0,76.6,12.3,2.8,43.5,12.7,3.4,1.5,1.0,0.4,4.98554e-05,0.000697976,0.0027919,36.6,36.8309,12230.6,8.8,28.7,4.3,3.5,24.1,40.8,3.35514,116.0,75.98,55.64,1002.0,17960.7,3.99,2011.977,2.727,2014.704,31.751667,-86.681969
1015,48.2,38.2,20.6,74.9,118572,195.7,5.27658,0.331709,65.305,0.701073,0.694562,59.59,569.809,26.92,94600.0,38382.0,17.5,78.4,17.5,7.1,51.2,12.9,2.6,3.9,2.3,0.4,0.000236827,0.00433054,0.00783219,33.9,26.7896,11208.4,12.5,26.8,5.1,4.9,23.1,33.6,3.38374,198.0,72.93,53.13,860.0,16924.8,3.06,1569.19,16.624,1585.814,33.771706,-85.822513
1017,47.8,41.5,38.7,58.8,34215,57.4,4.05004,0.4546,52.1293,0.542843,0.548297,90.0189,377.12,7.28,79200.0,32433.0,16.0,72.0,10.3,3.1,49.7,10.4,3.5,1.6,0.7,0.3,5.77751e-05,0.00199324,0.00283098,35.8,27.0824,11218.2,12.7,21.4,4.4,4.8,41.1,35.2,3.34674,249.0,73.74,54.37,857.0,17544.9,3.41,1545.009,17.048,1562.057,32.917943,-85.391812
1019,49.6,43.9,4.6,92.7,25989,46.9,3.84802,0.236634,76.6544,0.703123,0.717906,61.1789,418.06,,96200.0,40240.0,14.6,70.0,10.0,3.8,64.6,9.7,1.8,1.0,0.3,0.4,0.0,4.50532e-05,0.000720851,35.9,27.3639,11612.7,12.7,25.2,5.6,4.6,29.0,30.6,3.39666,186.0,72.08,53.21,837.0,16752.1,3.17,1434.076,119.859,1553.935,34.069515,-85.654242
1021,49.5,37.6,9.7,84.1,43643,63.0,4.14313,0.206579,79.6797,0.79671,0.987533,41.3589,609.669,16.25,102100.0,38966.0,17.2,74.6,11.3,4.6,57.0,11.5,2.5,4.9,3.0,0.1,0.0,0.000327761,0.00861544,30.9,42.9111,12217.8,9.8,22.6,5.1,5.2,21.6,35.3,3.38084,165.0,74.47,54.5,955.0,17563.6,3.8,1794.484,20.586,1815.07,32.85406,-86.726628
1023,48.3,43.4,43.4,55.8,13859,15.2,2.7213,0.460603,52.0562,0.530212,0.438977,56.9289,438.699,4.33,61500.0,30749.0,22.8,71.4,10.8,3.9,52.5,10.8,3.2,1.4,0.4,0.5,0.0,0.0,0.0,35.0,43.4233,9538.26,8.2,17.0,7.1,4.1,31.2,38.3,3.37129,108.0,76.92,54.64,1091.0,18128.6,3.84,2365.955,19.059,2385.014,31.991008,-88.248887
1025,47.3,40.2,43.9,54.5,25833,20.9,3.03975,0.440194,53.8961,0.574311,0.624675,63.1789,527.769,0.43,72400.0,27080.0,26.1,76.9,13.5,4.6,46.9,10.0,3.6,1.7,0.8,0.4,0.0,0.0,0.00536062,38.0,32.6689,8490.31,14.2,22.7,3.5,2.4,,35.4,3.38511,117.0,77.47,54.84,1063.0,18066.5,3.65,3207.609,36.543,3244.152,31.685521,-87.818624
1027,49.0,42.0,14.8,81.7,13932,23.1,3.13983,0.258102,72.1216,0.731703,0.74295,74.5,638.75,13.3489,78400.0,37652.0,17.7,70.8,9.0,3.2,61.6,9.5,2.2,3.0,2.1,0.2,0.0,0.0,0.00078982,37.5,20.4443,10287.2,7.2,20.5,4.4,4.7,21.2,34.3,3.39598,328.0,72.26,53.03,760.0,17269.4,3.52,1564.252,5.285,1569.537,33.267809,-85.862051
1029,49.8,40.6,3.3,94.0,14972,26.7,3.28466,0.179914,83.4309,0.788087,0.814467,56.3689,696.97,,88600.0,33742.0,16.4,69.6,10.2,3.7,51.3,14.5,2.8,1.3,0.9,1.0,6.7563e-05,0.000270252,0.00263496,33.5,29.3055,8287.95,9.6,20.8,5.4,4.8,21.2,29.9,3.36458,314.0,71.86,52.51,751.0,16963.3,3.29,1450.653,2.366,1453.018,33.671981,-85.516109
